_id,PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
25503,2020-02-16,GEÇ KALANLAR,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.0238170000000011,41.0170639999999977,1
25504,2019-03-31,HARİKALAR MUTFAĞI,Ümraniye Sahnesi,Çocuk,0,Yerli,29.1047979999999988,41.0250249999999994,73
25505,2018-02-23,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yerli,28.9888289999999991,41.0467879999999994,85
25506,2018-01-19,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Ümraniye Sahnesi,Müzikal,0,Yabancı,29.1047979999999988,41.0250249999999994,118
25507,2019-12-22,YAŞAYAN SAYFALAR,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765776999999986,41.0977446799999981,62
25508,2020-02-02,MATRUŞKA,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.0234079999999999,40.9917700000000025,2
25509,2020-01-20,İKİ EFENDİNİN UŞAĞI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0128999999999984,41.019561000000003,1
25510,2019-10-21,HASTALIK HASTASI,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.9888289999999991,41.0467879999999994,10
25511,2019-09-30,KARINCALAR - BİR SAVAŞ VARDI,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,14
25512,2019-09-24,SON,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,19
25513,2019-12-17,HASTALIK HASTASI,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,2189
25514,2019-04-19,BİZİM AİLE,Ümraniye Sahnesi,Müzikal,0,Yerli,29.1047979999999988,41.0250249999999994,17
25515,2017-11-23,FEHİM PAŞA KONAĞI,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli,28.9709719999999997,41.0793660000000003,30
25516,2019-10-28,HASTALIK HASTASI,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.9164819999999985,41.0578459999999978,1
25517,2020-02-22,TATLI KAÇIK,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.9709719999999997,41.0793660000000003,184
25518,2019-09-20,UZLAŞMA,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yabancı,28.8765776999999986,41.0977446799999981,7
25519,2019-10-22,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli,28.9709719999999997,41.0793660000000003,152
25520,2018-03-20,BİZİM AİLE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli,28.9709719999999997,41.0793660000000003,388
25521,2017-12-25,ÜÇ KARDEŞ VE MUHTEŞEM KURT,Gaziosmanpaşa Ferih Egemen Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.9164819999999985,41.0578459999999978,8
25522,2020-01-12,YAŞAYAN SAYFALAR,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.9164819999999985,41.0578459999999978,8
25523,2019-12-23,NORA - BİR BEBEK EVİ,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,24
25524,2018-02-20,MAKEDONYA GAMZESİ,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yerli,28.9888289999999991,41.0467879999999994,2007
25525,2017-10-27,POLLYANNA,Kağıthane Sadabad Sahnesi,Çocuk,0,Yabancı,28.9709719999999997,41.0793660000000003,245
25526,2020-01-29,HARİKALAR MUTFAĞI,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,21
25527,2017-12-28,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,14
25528,2019-01-03,ŞAHANE ZÜĞÜRTLER,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0128999999999984,41.019561000000003,61
25529,2020-01-10,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,15
25530,2018-01-16,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,12
25531,2019-12-26,KAHVEDE ŞENLİK VAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,12
